date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
10/6/18,7499.55,7499.55,6709.07,6786.02,5804839936,1.28E+11,7,22054,379,1298.25,16.72,901,1015,65.77,1.175400019,0.009146621,1.359200001,0.157810852,2779.030029,25316.5293,7645.509766,1672.48999,7681.100098,22694.5,3067.147949,12.18000031,262.2799988,1120.869995,35121339.4,13551637.53,0.630925119,4.94E+12,66895.0211,370066,71.12432132
9/6/18,7632.52,7683.58,7531.98,7531.98,3845220096,1.30E+11,5,20530,354,1298.25,16.72,901,1015,65.77,1.175400019,0.009146621,1.359200001,0.157810852,2779.030029,25316.5293,7645.509766,1672.48999,7681.100098,22694.5,3067.147949,12.18000031,262.2799988,1120.869995,35612546.94,13811527.92,0.89716309,4.94E+12,107618.3044,477385,71.12432132
8/6/18,7685.14,7698.19,7558.4,7624.92,4227579904,1.31E+11,6,25142,3193,1298.25,16.72,901,1015,65.77,1.175400019,0.009146621,1.359200001,0.157810852,2779.030029,25316.5293,7645.509766,1672.48999,7681.100098,22694.5,3067.147949,12.18000031,262.2799988,1120.869995,35121339.4,13721335.6,1.08251349,4.94E+12,104275.2848,433803,70.84210521
7/6/18,7650.82,7741.27,7650.82,7678.24,4485799936,1.31E+11,6,30928,485,1297.25,16.745,905,1027,65.96,1.183600068,0.009146621,1.359200001,0.157810852,2770.370117,25241.41016,7635.069824,1667.77002,7704.399902,22823.25977,3109.499023,12.13000011,262.8999939,1123.859985,36103754.49,14067189.5,0.991682973,4.94E+12,102030.2988,451993,70.69351311
6/6/18,7625.97,7680.43,7502.01,7653.98,4692259840,1.30E+11,6,35908,510,1300.1,16.545,901,1008,64.75,1.176499963,0.009146621,1.359200001,0.157810852,2772.350098,25146.39063,7689.240234,1675.949951,7712.399902,22625.73047,3115.179932,11.64000034,265.1499939,1136.880005,42980660.1,16659392.19,0.848479486,4.42E+12,100695.4979,460259,70.54310955
5/6/18,7500.9,7643.23,7397,7633.76,4961739776,1.28E+11,6,24457,440,1292.05,16.385,897,984,65.51,1.167500019,0.009146621,1.359200001,0.157810852,2748.800049,24799.98047,7637.859863,1664.630005,7686.799805,22539.53906,3114.206055,12.39999962,265.0700073,1139.660034,39180231.3,17156875.25,1.055892372,4.31E+12,103191.0668,449727,70.39398367
4/6/18,7722.53,7753.82,7474.04,7514.47,4993169920,1.32E+11,6,18471,457,1295.45,16.44,906,1009,64.76,1.173699975,0.009146621,1.359200001,0.157810852,2746.870117,24813.68945,7606.459961,1653.369995,7741.299805,22475.93945,3091.190918,12.73999977,264.8500061,1139.290039,34898238.81,15688517.73,0.77128435,4.31E+12,63102.85728,369974,70.24780075
3/6/18,7632.09,7754.89,7613.04,7720.25,4851760128,1.30E+11,6,15388,277,1294.6,16.42,903,991,65.81,1.166900158,0.009146621,1.359200001,0.157810852,2734.620117,24635.21094,7554.330078,1647.97998,7701.799805,22171.34961,3075.136963,13.46000004,257.6199951,1119.5,32543142.94,14525778.67,0.622946711,4.31E+12,68084.92817,386673,70.09968569
2/6/18,7536.72,7695.83,7497.26,7643.45,4939299840,1.29E+11,6,9256,417,1294.6,16.42,903,991,65.81,1.166900158,0.009146621,1.359200001,0.157810852,2734.620117,24635.21094,7554.330078,1647.97998,7701.799805,22171.34961,3075.136963,13.46000004,257.6199951,1119.5,35540537.68,15635429.33,0.721915084,4.31E+12,115082.9642,551182,69.9490533
1/6/18,7500.7,7604.73,7407.34,7541.45,4921460224,1.28E+11,6,10908,459,1294.6,16.42,903,991,65.81,1.166900158,0.009146621,1.359200001,0.157810852,2734.620117,24635.21094,7554.330078,1647.97998,7701.799805,22171.34961,3075.136963,13.46000004,257.6199951,1119.5,36396936.18,15919297.25,0.706883535,4.31E+12,110506.3534,454485,69.66027488
31/5/18,7406.15,7608.9,7361.13,7494.17,5127130112,1.26E+11,6,18963,523,1305.35,16.55,907,986,66.98,1.16990006,0.009146621,1.359200001,0.157810852,2705.27002,24415.83984,7442.120117,1633.609985,7678.200195,22201.82031,3095.474121,15.43000031,252.1900024,1084.98999,37253334.68,16063234.13,0.62599008,4.31E+12,122200.7119,443064,69.39575322
