Date,hash_rate,avg_block_size,difficulty,num_unique_addr,miners_revenue,est_TXN_vol,num_of_TXN,TXN_per_block,cost_per_TXN,total_TXN_fees,usd_trade_vol
2018-08-20,46054126.4291,0.619528075862,6389316883510.0,402086.0,11716527.5641,272482161.66,167400.0,1154.48275862,69.9912040867,109162.772455,250407540.753
2018-08-21,47642199.7543,0.818181573333,6389316883510.0,459855.0,12251866.1225,623276781.085,214983.0,1433.22,56.9899300059,187067.684958,278407616.792
2018-08-22,47006970.4242,0.779786689189,6389316883510.0,449915.0,12000750.7951,874687867.456,217777.0,1471.46621622,55.105685151,158445.41052,494275683.794
2018-08-23,50818346.4046,0.7748982625,6389316883510.0,484462.0,13310066.6325,1013114236.86,230333.0,1439.58125,57.7861905697,159608.29916,578694712.348
2018-08-24,47324585.0892,0.768391154362,6389316883510.0,444345.0,12109214.1826,884660560.832,217352.0,1458.73825503,55.7124580524,124247.078443,521498142.117
2018-08-25,48824180.026,0.820710534247,6505039002080.0,487990.0,12067487.5609,660927831.609,219848.0,1505.80821918,54.8901402829,125334.132336,309487742.007
2018-08-26,45145645.9145,0.763551688889,6727225469720.0,415347.0,11480569.008,513907773.355,196420.0,1454.96296296,58.4490836369,141532.181042,360769405.462
2018-08-27,57853309.2089,0.56971550289,6727225469720.0,368937.0,14616492.4672,379429738.236,172747.0,998.537572254,84.6121348981,185537.081829,275471754.412
2018-08-28,61866255.5125,0.701549637838,6727225469720.0,464083.0,15757726.0164,786098295.59,223656.0,1208.95135135,70.4551901865,219423.035587,258650857.755
2018-08-29,51165065.3698,0.87988075817,6727225469720.0,488604.0,13704072.5546,979878645.589,238039.0,1555.81045752,57.5707029293,316496.054579,488528814.769
2018-08-30,46483294.6823,0.907886179856,6727225469720.0,509196.0,12423621.4581,870722872.868,237508.0,1708.69064748,52.3082231255,166816.163458,417586626.257
2018-08-31,51499477.5617,0.817750818182,6727225469720.0,463656.0,13512459.5225,799455268.51,231391.0,1502.53896104,58.3966512204,167084.210043,386739901.365
2018-09-01,51833889.7537,0.809181290323,6727225469720.0,511306.0,13703858.6682,867724935.052,237076.0,1529.52258065,57.8036522811,176337.995106,401228805.885
2018-09-02,50496240.9858,0.76929605298,6727225469720.0,437403.0,13539458.2481,531359264.673,213331.0,1412.78807947,63.466904707,136421.414717,346387521.197
2018-09-03,48155355.6421,0.648996729167,6727225469720.0,387888.0,13164449.0812,446620948.174,187145.0,1299.61805556,70.3435789425,118165.388896,500527999.011
2018-09-04,48155355.6421,0.846752486111,6727225469720.0,455956.0,13214317.5544,724709647.361,222897.0,1547.89583333,59.2844118783,144608.939048,398104449.349
2018-09-05,42135936.1869,0.957670738095,6727225469720.0,474898.0,11716417.735,847238863.814,232265.0,1843.37301587,50.4441811508,176625.047479,355513974.995
2018-09-06,44142409.3386,1.00844393182,6727225469720.0,497297.0,11962954.2145,946331381.202,246477.0,1867.25,48.5357831136,226389.983724,534640696.636
2018-09-07,50161828.7939,0.888037206667,6727225469720.0,501000.0,12263681.833,1083671672.31,252261.0,1681.74,48.6150527945,201297.45799,963691917.602
2018-09-08,53036795.5276,0.889911335526,6971177230940.0,539382.0,12425079.4152,737975012.235,230790.0,1518.35526316,53.8371654543,179951.498541,419504415.198
2018-09-09,52338942.9549,0.7105398,7019199231180.0,414918.0,12056257.7326,364496340.383,204428.0,1362.85333333,58.9755695532,119806.170126,291261346.933
2018-09-10,56874984.6776,0.616029116564,7019199231180.0,387388.0,12924076.0946,464647608.081,188912.0,1158.96932515,68.4132087669,115483.459147,338680872.52
2018-09-11,47105048.6594,0.899061755556,7019199231180.0,451964.0,10753469.6136,707683213.337,222866.0,1650.85925926,48.2508306049,125801.007815,290980772.837
2018-09-12,49198606.3776,0.941821382979,7019199231180.0,474060.0,11243810.4714,741573975.25,237571.0,1684.90070922,47.3282112355,146545.002677,314617783.777
2018-09-13,58619616.1095,0.709051160714,7019199231180.0,461585.0,13323607.1515,664911253.632,233275.0,1388.54166667,57.1154523694,150018.401483,321882304.55
2018-09-14,51641090.3822,0.819058952703,7019199231180.0,466216.0,12063757.5583,1249581111.42,234209.0,1582.49324324,51.5085140123,130925.981391,349448939.589
2018-09-15,46058269.8003,1.057485,7019199231180.0,471372.0,10861356.2841,733164598.27,223250.0,1691.28787879,48.6510919782,137903.159142,360631436.305
2018-09-16,48849680.0912,0.789859057143,7019199231180.0,427957.0,11509988.8514,375006930.182,211071.0,1507.65,54.5313607811,102342.601438,232655320.566
2018-09-17,48500753.8049,0.627328395683,7019199231180.0,370211.0,11344822.2447,282353987.586,179483.0,1291.24460432,63.2083386434,84703.0051587,181083665.025
2018-09-18,47105048.6594,0.90764782963,7019199231180.0,481967.0,10912753.5263,574281010.16,240152.0,1778.9037037,45.4410270427,111739.620098,217488658.758
2018-09-19,49547532.664,0.936313514085,7019199231180.0,479308.0,11296243.3776,600992855.335,244259.0,1720.13380282,46.2469893746,119722.169308,346869668.289
2018-09-20,54432500.6731,0.80443724359,7019199231180.0,480227.0,12463162.5358,672997746.118,251037.0,1609.21153846,49.6467155669,108300.535762,321494577.227
2018-09-21,54756137.2027,0.815061116883,7031329605790.0,493140.0,12472948.4743,683212384.851,253674.0,1647.23376623,49.1692032857,117215.340964,425834153.35
2018-09-22,51200543.8779,1.01230172917,7152633351910.0,563130.0,12176819.2713,986722599.639,273051.0,1896.1875,44.5954025854,170835.771333,524769683.693
2018-09-23,55111696.5352,0.732038903226,7152633351910.0,445041.0,13124461.7112,459745178.207,225537.0,1455.07741935,58.1920558986,125168.742449,424174128.733
2018-09-24,53333899.8728,0.65563344,7152633351910.0,401263.0,12679234.026,336115557.905,200319.0,1335.46,63.2952142631,97149.6509606,251395241.278
2018-09-25,52622781.2078,0.80711402027,7152633351910.0,469028.0,12385677.9782,503494967.408,237670.0,1605.87837838,52.1129211855,102965.26983,273203917.31
2018-09-26,60089527.19,0.768240781065,7152633351910.0,490588.0,13676604.3032,842041018.981,252113.0,1491.79289941,54.2479138451,130284.313643,390313648.773
2018-09-27,49422747.2154,0.898005352518,7152633351910.0,474079.0,11369486.0866,748444892.398,243927.0,1754.8705036,46.610199308,130238.565767,312748554.376
2018-09-28,50844984.5454,0.877031230769,7152633351910.0,481907.0,11836751.4807,824319235.774,248686.0,1739.06293706,47.5971766834,154586.939031,283381555.359
2018-09-29,54756137.2027,0.855168668831,7152633351910.0,527057.0,13046981.4048,913410388.895,254239.0,1650.9025974,51.317781319,193097.092269,457654461.267
2018-09-30,54045018.5377,0.693383605263,7152633351910.0,429818.0,12571059.9003,464342432.727,218339.0,1436.44078947,57.5758792532,125158.9836,373219094.661
